account_id,company_id,code,name,account_type,is_control_account,created_at,default_tax_code_id,balance_side
1,1,101,現金,asset,True,2026-04-21 14:34:12.481035,9,debit
2,1,102,小口現金,asset,True,2026-04-21 14:34:12.481035,9,debit
3,1,103,普通預金,asset,True,2026-04-21 14:34:12.481035,9,debit
4,1,120,定期預金,asset,True,2026-04-21 14:34:12.481035,9,debit
5,1,130,積立,asset,True,2026-04-21 14:34:12.481035,9,debit
6,1,140,貸付金,asset,True,2026-04-21 14:34:12.481035,9,debit
7,1,210,備品,asset,True,2026-04-21 14:34:12.481035,9,debit
8,1,220,減価償却累計額,asset,True,2026-04-21 14:34:12.481035,9,credit
9,1,290,開業費,asset,True,2026-04-21 14:34:12.481035,9,debit
10,1,310,借入金,liability,True,2026-04-21 14:34:12.481035,9,credit
11,1,320,クレカ,liability,True,2026-04-21 14:34:12.481035,9,credit
12,1,330,未払金,liability,True,2026-04-21 14:34:12.481035,9,credit
13,1,340,預り金,liability,True,2026-04-21 14:34:12.481035,9,credit
14,1,350,仮受金,liability,True,2026-04-21 14:34:12.481035,9,credit
15,1,401,給与収入,revenue,True,2026-04-21 14:34:12.481035,9,credit
16,1,402,年金収入,revenue,True,2026-04-21 14:34:12.481035,9,credit
17,1,403,その他収入,revenue,True,2026-04-21 14:34:12.481035,9,credit
18,1,650,家計食,expense,True,2026-04-21 14:34:12.481035,9,debit
19,1,652,家計他,expense,True,2026-04-21 14:34:12.481035,9,debit
20,1,654,趣味PC,expense,True,2026-04-21 14:34:12.481035,9,debit
21,1,656,趣味音楽,expense,True,2026-04-21 14:34:12.481035,9,debit
22,1,658,趣味ライブ,expense,True,2026-04-21 14:34:12.481035,9,debit
23,1,660,趣味他,expense,True,2026-04-21 14:34:12.481035,9,debit
24,1,662,介護保険,expense,True,2026-04-21 14:34:12.481035,9,debit
25,1,664,健康保険,expense,True,2026-04-22 08:03:07.922312,9,debit
26,1,666,住民税,expense,True,2026-04-21 14:34:12.481035,9,debit
27,1,668,水道光熱費,expense,True,2026-04-21 14:34:12.481035,9,debit
28,1,670,慶弔費,expense,True,2026-04-21 14:34:12.481035,9,debit
29,1,672,交際費,expense,True,2026-04-21 14:34:12.481035,9,debit
30,1,674,通信費,expense,True,2026-04-21 14:34:12.481035,9,debit
31,1,676,NHK,expense,True,2026-04-21 14:34:12.481035,9,debit
32,1,678,保険,expense,True,2026-04-21 14:34:12.481035,9,debit
33,1,680,家賃,expense,True,2026-04-21 14:34:12.481035,9,debit
34,1,682,真光,expense,True,2026-04-21 14:34:12.481035,9,debit
35,1,684,その他,expense,True,2026-04-21 14:34:12.481035,9,debit
36,1,686,雑費,expense,True,2026-04-21 14:34:12.481035,9,debit
37,1,801,資本金,equity,True,2026-04-21 14:34:12.481035,9,credit
38,1,805,繰越利益剰余金,equity,True,2026-04-22 11:46:16.994137,9,credit
39,1,810,当期未処分利益,equity,True,2026-04-22 11:46:16.994137,9,credit
40,1,902,受取利息,revenue,True,2026-04-21 14:34:12.481035,9,credit
41,1,903,受取配当金,revenue,True,2026-04-21 14:34:12.481035,9,credit
42,1,905,雑収入,revenue,True,2026-04-21 14:34:12.481035,9,credit
43,1,951,支払利息,expense,True,2026-04-21 14:34:12.481035,9,debit
44,1,955,雑損失,expense,True,2026-04-21 14:34:12.481035,9,debit
45,1,999,諸口,expense,True,2026-04-21 14:34:12.481035,9,debit
